1;Credit;Иванов;89531234567;2026-04-28;30;0;9.00;0;10000.00;10075.00;1;0.00;0.00
2;Deposit;Петров;89532345678;2026-04-28;90;0;6.50;0;50000.00;50812.50;1;0.00;0.00
3;Credit;Сидорова;89533456789;2026-04-28;60;0;11.50;0;25000.00;25479.17;1;0.00;0.00
4;Deposit;Козлов;89534567890;2026-04-28;180;0;7.00;0;150000.00;155250.00;1;0.00;0.00
5;Credit;Новиков;89535678901;2026-04-28;365;0;12.00;0;75000.00;84000.00;1;0.00;0.00
6;Deposit;Морозова;89536789012;2026-04-28;30;0;5.00;0;200000.00;200833.33;1;0.00;0.00
7;Credit;Волков;89537890123;2026-04-28;90;0;10.00;0;30000.00;30750.00;1;0.00;0.00
8;Deposit;Соколов;89538901234;2026-04-28;60;0;6.00;0;120000.00;121200.00;1;0.00;0.00
9;Credit;Кузнецова;89539012345;2026-04-28;180;0;13.50;0;85000.00;90737.50;1;0.00;0.00
10;Deposit;Лебедев;89530123456;2026-04-28;365;0;8.50;0;300000.00;325500.00;1;0.00;0.00
11;Credit;Попов;89541234567;2026-04-28;30;0;9.50;0;15000.00;15118.75;1;0.00;0.00
12;Deposit;Васильева;89542345678;2026-04-28;90;0;7.50;0;90000.00;91687.50;1;0.00;0.00
13;Credit;Смирнов;89543456789;2026-04-28;120;0;11.00;0;45000.00;46650.00;1;0.00;0.00
14;Deposit;Михайлов;89544567890;2026-04-28;30;0;5.50;0;250000.00;251145.83;1;0.00;0.00
15;Credit;Федорова;89545678901;2026-04-28;180;0;10.50;0;60000.00;63150.00;1;0.00;0.00
16;Deposit;Орлов;89546789012;2026-04-28;365;0;9.00;0;180000.00;196200.00;1;0.00;0.00
17;Credit;Егоров;89547890123;2026-04-28;60;0;12.50;0;35000.00;35729.17;1;0.00;0.00
18;Deposit;Андреева;89548901234;2026-04-28;90;0;6.00;0;400000.00;406000.00;1;0.00;0.00
19;Credit;Макаров;89549012345;2026-04-28;30;0;8.00;0;20000.00;20133.33;1;0.00;0.00
20;Deposit;Захаров;89540123456;2026-04-28;180;0;7.00;0;110000.00;113850.00;1;0.00;0.00
21;Credit;Белова;89551234567;2026-04-28;365;0;14.00;0;55000.00;62700.00;1;0.00;0.00
22;Deposit;Григорьев;89552345678;2026-04-28;60;0;5.00;0;350000.00;352916.67;1;0.00;0.00
23;Credit;Романов;89553456789;2026-04-28;90;0;10.00;0;28000.00;28700.00;1;0.00;0.00
24;Deposit;Тихонова;89554567890;2026-04-28;120;0;6.50;0;170000.00;173683.33;1;0.00;0.00
25;Credit;Семёнов;89555678901;2026-04-28;30;0;11.00;0;12000.00;12110.00;1;0.00;0.00
26;Deposit;Крылов;89556789012;2026-04-28;180;0;8.00;0;220000.00;228800.00;1;0.00;0.00
27;Credit;Филиппова;89557890123;2026-04-28;365;0;13.00;0;95000.00;107350.00;1;0.00;0.00
28;Deposit;Баранов;89558901234;2026-04-28;90;0;5.50;0;130000.00;131787.50;1;0.00;0.00
29;Credit;Дмитриев;89559012345;2026-04-28;60;0;9.50;0;42000.00;42790.00;1;0.00;0.00
30;Deposit;Алексеева;89550123456;2026-04-28;30;0;7.00;0;80000.00;80466.67;1;0.00;0.00
